"Freq [GHz]","Phi [deg]","Theta [deg]","mag(rEL3X) [V]","mag(rEL3Y) [V]"
83,0,56,2.46016715498384,0.00143813098515751
83,0,57,2.12514971015501,0.00118589051256665
83,0,58,1.80576622129913,0.000938451168752862
83,0,59,1.50272521947641,0.000696754452583915
83,0,60,1.21653935525883,0.00046204149745782
83,0,61,0.94755693459672,0.00023762124266457
83,0,62,0.696024428872482,7.28701564041924E-05
83,0,63,0.462271394882023,0.000224363550643761
83,0,64,0.247691791895582,0.000426045946043483
83,0,65,0.0722662113478675,0.000623421180777877
83,0,66,0.159121138905167,0.000813389394312713
83,0,67,0.32237415349275,0.000995185263465921
83,0,68,0.474951822974936,0.00116849420566797
83,0,69,0.614007504960217,0.00133316566724533
83,0,70,0.739587003756068,0.00148913684087266
83,0,71,0.852188970858495,0.00163640382859133
83,0,72,0.952443374508963,0.00177500716784453
